ID,Name,Country,Founded Year,Location,Status,Description
11,"Airtable","USA",2012,"","Active","Low-code platform for building apps"
29,"Anduril","USA",2017,"","Active","Defense technology company"
1,"Anthropic","USA",2021,"","Active","AI Safety and Research Company (Claude)"
24,"Automattic","USA",2005,"","Active","Web development corporation (WordPress.com)"
14,"Brex","USA",2017,"","Active","Corporate credit cards and cash management"
41,"Bumble","USA",2014,"","IPO","Dating and networking app"
9,"Canva","Australia",2013,"","Active","Online design and publishing tool"
19,"Carta","USA",2012,"","Active","Ownership and equity management"
21,"Celonis","Germany",2011,"","Active","Process mining and execution management"
53,"Character.AI","USA",2021,"","Active","Generative AI conversational platform"
25,"Checkr","USA",2014,"","Active","Background check API"
33,"Chime","USA",2013,"","Active","Financial technology company"
30,"Cohere","Canada",2019,"","Active","Natural language processing platform"
7,"Databricks","USA",2013,"","Active","Unified data analytics platform"
28,"Deel","USA",2019,"","Active","Global payroll and compliance"
15,"Discord","USA",2012,"","Active","Voice, video and text communication service"
45,"Duolingo","USA",2011,"","IPO","Language-learning platform"
8,"Epic Games","USA",1991,"","Active","Video game development and publishing"
12,"Figma","USA",2012,"","Active","Collaborative web application for interface design"
3,"GitHub","USA",2008,"","Acquired","Code hosting platform for version control and collaboration"
37,"Glean","USA",2019,"","Active","AI search and discovery tool for workplace"
46,"Glossier","USA",2014,"","Active","Beauty brand"
26,"Gong","USA",2015,"","Active","Revenue intelligence platform"
38,"Grammarly","USA",2009,"","Active","AI-powered writing assistant"
23,"Gusto","USA",2011,"","Active","Payroll, benefits, and HR platform"
31,"Hugging Face","USA",2016,"","Active","Machine learning community and platform"
47,"Impossible Foods","USA",2011,"","Active","Plant-based meat substitutes"
42,"Instacart","USA",2012,"","IPO","Grocery delivery and pick-up service"
34,"Klaviyo","USA",2012,"","IPO","Marketing automation platform"
50,"Linear","USA",2019,"","Active","Issue tracker for software teams"
32,"Midjourney","USA",2021,"","Active","Generative AI research lab"
22,"Miro","USA",2011,"","Active","Visual collaboration platform"
39,"Monzo","UK",2015,"","Active","Digital challenger bank"
40,"N26","Germany",2013,"","Active","Direct bank"
27,"Navan","USA",2015,"","Active","Travel, corporate card, and expense management"
51,"Netlify","USA",2014,"","Active","Web development platform"
13,"Notion","USA",2013,"","Active","Productivity and note-taking web application"
35,"Nuro","USA",2016,"","Active","Autonomous delivery robotics"
5,"OpenAI","USA",2015,"","Active","AI research and deployment company"
36,"Patreon","USA",2013,"","Active","Membership platform for creators"
10,"Plaid","USA",2013,"","Active","Data network for fintech"
20,"Ramp","USA",2019,"","Active","Finance automation platform"
52,"Retool","USA",2017,"","Active","Internal tool builder"
16,"Revolut","UK",2015,"","Active","Financial technology company"
18,"Rippling","USA",2016,"","Active","Workforce management platform"
17,"Scale AI","USA",2016,"","Active","Data platform for AI"
6,"SpaceX","USA",2002,"","Active","Spacecraft manufacturer and satellite communications"
2,"Stripe","USA",2010,"","Active","Financial infrastructure platform for the internet"
49,"Supabase","USA",2020,"","Active","Open source Firebase alternative"
44,"Turo","USA",2009,"","Active","Peer-to-peer carsharing"
48,"Vercel","USA",2015,"","Active","Frontend cloud network"
43,"Waymo","USA",2009,"","Active","Autonomous driving technology"
4,"WeWork","USA",2010,"","Bankrupt/Restructured","Coworking space provider"
